time stap,loss
20221216_130444,
20221219_093622,MSE
20221219_124859,MAE
20221219_153614,MAE + SSIM
20221219_172909,MSE + SSIM
20221219_203526,MAE + CONTENT
20221220_084537,MSE + CONTENT
20221220_144237,MSE + LPIPS
20221220_180306,MAE + LPIPS
20221221_002908,MAE + PERCEPTUAL
20221221_030904,MSE + PERCEPTUAL
20221221_102716,MAE + SSIM + PERCEPTUAL
20221221_131804,MSE + SSIM + PERCEPTUAL
20221221_155324,MSE + LPIPS + SSIM
20221221_214108,MAE + LPIPS + SSIM
20221222_085524,MAE + LPIPS + CONTENT
20221222_174634,MSE + LPIPS + CONTENT
20221223_001117,MAE + SSIM + LPISP
20221223_044504,MSE + SSIM + LPISP
20221223_093232,MAE + SSIM + STYLE
20221223_160049,MSE + SSIM + STYLE
20221223_195825,
